VT(f);VT;NOF(f);NOF;CR
0;1814;0;5;8
0;699;0;2;9
167;800;1;2;3
6111;6844;5;9;10
0;1983;0;5;4
2498;2598;3;4;2
932;1065;2;3;5
1865;2897;3;7;6
1766;2249;3;5;4
2449;2449;7;7;4
2714;2714;7;7;4
3280;3280;7;7;3
916;3131;2;10;6
2614;2731;4;5;5
2198;2381;5;6;7
1449;1714;3;6;8
3531;4313;6;9;9
2897;3080;9;10;8
2231;2231;7;7;9
1699;1899;2;3;7
1799;2065;8;9;8
3562;3779;13;14;10
2548;2548;6;6;8
1482;1599;6;8;8
2530;2929;6;8;8
2815;3530;5;9;7
3348;3514;4;5;5
1850;1850;4;4;4
1781;2712;4;8;7
3897;4030;5;6;5
1649;1849;1;2;5
3048;3048;4;4;8
1848;1998;6;7;8
3479;3479;6;6;7
2181;2181;6;6;8
3463;3463;8;8;7
332;332;2;2;8
1133;1133;4;4;5
1066;1233;3;4;9
1866;2200;9;11;10
2298;2548;8;9;9
1481;2114;4;6;9
1499;1949;6;8;10
1866;2099;10;12;10
2598;2881;9;11;1
2697;2697;10;10;1
2981;3347;11;12;3
2149;2149;9;9;2
216;1148;1;4;7
233;3031;1;8;7
1865;2681;3;7;6
3614;3697;5;6;9
1666;4297;1;9;9
733;2649;1;8;8
1032;1298;3;5;8
1448;1631;5;7;8
2832;4014;10;15;10
1382;3279;5;11;10
1116;1432;3;4;10
2181;2181;7;7;10
199;199;1;1;6
450;7246;1;13;10
183;516;1;3;7
583;833;2;3;7
633;983;1;5;6
1365;1914;7;10;7
4928;5027;11;12;8
933;1100;1;2;7
532;532;3;3;6
566;566;4;4;6
1915;2015;7;8;9
284;284;2;2;6
